video_id,video_title,question_id,question,answer,difficulty
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q001,ماذا ورد في هذا الموضع من النص؟,الوضع بقى معقد جدًا بشكل استثنائي،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q031,ماذا ورد في هذا الموضع من النص؟,واللي شايفين الحركة في كل حاجة،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q032,ما الجملة المذكورة في هذا السياق؟,سنة 450 قبل الميلاد،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q033,كيف صيغت العبارة هنا؟,صلّوا على النبي،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q034,ما الذي قيل في هذا الجزء؟,"اللي بتقول: ""كل دا، يا جماعة، تهيؤات،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q035,ما النص الحرفي المذكور في هذه الفقرة؟,وآخر الملعب بالنقطة ب،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q036,ماذا ورد في هذا الموضع من النص؟,إن انت عشان توصل من النقطة أ للنقطة ب،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q037,ما الجملة المذكورة في هذا السياق؟,نُص هذه المسافة، صح ولّا لأ؟,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q038,كيف صيغت العبارة هنا؟,اللي هي بين أ و ب.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q039,ما الذي قيل في هذا الجزء؟,زي ما أستاذ (زينون) بيعمل،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q040,ما النص الحرفي المذكور في هذه الفقرة؟,عشان توصل من النقطة أ للنقطة ج،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q041,ماذا ورد في هذا الموضع من النص؟,اللي بين النقطة أ والنقطة ج،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q042,ما الجملة المذكورة في هذا السياق؟,لازم يبقى فيه نقطة...,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q043,كيف صيغت العبارة هنا؟,"اللي بيجيب الفقر في الملعب دا!""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q044,ما الذي قيل في هذا الجزء؟,هنفضل ننصص، ننصص، ننصص، إلى ما لانهاية،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q045,ما النص الحرفي المذكور في هذه الفقرة؟,البطل الأسطوري المعروف،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q046,ماذا ورد في هذا الموضع من النص؟,"""يلّا، ما لكيش حُجّة أيتها السلحفاة،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q047,ما الجملة المذكورة في هذا السياق؟,"اقرميه واحدة في الوتر، دي نقطة ضعفه!""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q048,كيف صيغت العبارة هنا؟,"إن ""أخيل"" عشان يكسب السلحفاة،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q049,ما الذي قيل في هذا الجزء؟,السلحفاة بتعافر، ومش ساكتة،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q050,ما النص الحرفي المذكور في هذه الفقرة؟,للنقطة التانية اللي هي كانت اتقدمت فيها،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q051,ماذا ورد في هذا الموضع من النص؟,كانت هي مشيت شوية،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q052,ما الجملة المذكورة في هذا السياق؟,كانت هي مشيت شوية،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q053,كيف صيغت العبارة هنا؟,نفضل كدا إلا ما لانهاية.,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q054,ما الذي قيل في هذا الجزء؟,في حياتنا من حركة وتغير،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q055,ما النص الحرفي المذكور في هذه الفقرة؟,ليه صنف الفلاسفة دا بيلسعوا في آخر حياتهم!,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q056,ماذا ورد في هذا الموضع من النص؟,"انت بتدوّر على حد؟! تايه؟!""",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q057,ما الجملة المذكورة في هذا السياق؟,جرعة الوعي الفلسفي الكافية،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q058,كيف صيغت العبارة هنا؟,عالم الفلسفة والألعاب العقلية،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q059,ما الذي قيل في هذا الجزء؟,إلى ما لانهاية،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q060,ما النص الحرفي المذكور في هذه الفقرة؟,إلى عدد لانهائي من الأجزاء،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q061,ماذا ورد في هذا الموضع من النص؟,إن مجموع الأجزاء الصغيرة،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q062,ما الجملة المذكورة في هذا السياق؟,عددها في النهاية هيساوي 1.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q063,كيف صيغت العبارة هنا؟,بيساوي قيمة معيّنة.,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q064,ما الذي قيل في هذا الجزء؟,هتبدأ تركّز في أبسط حركات الأجسام،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q065,ما النص الحرفي المذكور في هذه الفقرة؟,وقُمنا شايطين الكورة،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q066,ماذا ورد في هذا الموضع من النص؟,رجلك في وقت ما كانت لامساها،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q067,ما الجملة المذكورة في هذا السياق؟,مكمّلة الحركة وراحة الـ18؟,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q068,كيف صيغت العبارة هنا؟,"بتظهر عند ""جاليليو"".",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q069,ما الذي قيل في هذا الجزء؟,الأجسام على سطح أملس،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q070,ما النص الحرفي المذكور في هذه الفقرة؟,وكذلك مقاومة الاحتكاك،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q071,ماذا ورد في هذا الموضع من النص؟,"إن انت تشوط ""بلنتي"" في الفضاء،",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q072,ما الجملة المذكورة في هذا السياق؟,مكمّلة للأبد بنفس السرعة،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q073,كيف صيغت العبارة هنا؟,"اتطورت عند ""نيوتن""،",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q074,ما الذي قيل في هذا الجزء؟,حاجة بتعمل حاجة بتعمل حاجة،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q075,ما النص الحرفي المذكور في هذه الفقرة؟,ما نقدرش نستغنى عنه،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q076,ماذا ورد في هذا الموضع من النص؟,هييجي عليها وقت وتبدأ تتحرك لتحت،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q077,ما الجملة المذكورة في هذا السياق؟,الحاجات بتتحرك لتحت، حركة (غريبة).,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q078,كيف صيغت العبارة هنا؟,لأنها بتنتمي لعنصر الأرض،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q079,ما الذي قيل في هذا الجزء؟,إلى الرجوع لمركز الكون،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q080,ما النص الحرفي المذكور في هذه الفقرة؟,"بالنسبة لـ(أرسطو)؟""",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q081,ماذا ورد في هذا الموضع من النص؟,"""أرسطو"" اعتبر إن الأجسام التقيلة",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q082,ما الجملة المذكورة في هذا السياق؟,كانت مسيطرة على الفيزيا,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q083,كيف صيغت العبارة هنا؟,"""يا جماعة، الكلام دا مش صح!""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q084,ما الذي قيل في هذا الجزء؟,"بيُقال إن هو طلع فوق برج ""بيزا"" المايل،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q085,ما النص الحرفي المذكور في هذه الفقرة؟,بيوصلوا الأرض في نفس اللحظة،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q086,ماذا ورد في هذا الموضع من النص؟,لمّا شافوا هذا المنظر،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q087,ما الجملة المذكورة في هذا السياق؟,كتير من الآراء العلمية للفلاسفة القدماء,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q088,كيف صيغت العبارة هنا؟,من مقعدنا يعني دلوقتي،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q089,ما الذي قيل في هذا الجزء؟,"دا كيلو من دا، وكيلو من دا.""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q090,ما النص الحرفي المذكور في هذه الفقرة؟,بيقدّم اختبار لهذه الانطباعات،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q091,ماذا ورد في هذا الموضع من النص؟,انطباعاتك اللي انت جايبه من القهوة،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q092,ما الجملة المذكورة في هذا السياق؟,هات، يا حبيبي، هات الانطباع بتاعك دا، هات،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q093,كيف صيغت العبارة هنا؟,"هي اللي تقول مين فينا الحمار!""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q094,ما الذي قيل في هذا الجزء؟,اللي فضلت مكمّلة معانا لحد القرن الـ19،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q095,ما النص الحرفي المذكور في هذه الفقرة؟,بتملا أي فراغ في الكون،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q096,ماذا ورد في هذا الموضع من النص؟,لو كل حاجة في الدنيا بتتحرك،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q097,ما الجملة المذكورة في هذا السياق؟,إن بما إن هذا الأثير وسيط،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q098,كيف صيغت العبارة هنا؟,أكيد بيتأثر بمقاومة الأثير دا.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q099,ما الذي قيل في هذا الجزء؟,لحد ما بتحصل تجربة مهمة جدًا سنة 1887،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q100,ما النص الحرفي المذكور في هذه الفقرة؟,بيستعملوا الـInterferometer،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q101,ماذا ورد في هذا الموضع من النص؟,لو أن هناك فعلًا تأثير للأثير،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q102,ما الجملة المذكورة في هذا السياق؟,"مع حركة اتجاه ""الأرض""،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q103,كيف صيغت العبارة هنا؟,المفترض إن الشعاع دا الريح هتقاومه.,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q104,ما الذي قيل في هذا الجزء؟,عشان انت ماشي عكس الاتجاه،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q105,ما النص الحرفي المذكور في هذه الفقرة؟,"مع شعاع الضوء اللي ماشي مع ""الأرض""،",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q106,ماذا ورد في هذا الموضع من النص؟,"في اتجاه عمودي على حركة ""الأرض""،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q107,ما الجملة المذكورة في هذا السياق؟,"زي اللي ماشي مع حركة ""الأرض"".",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q108,كيف صيغت العبارة هنا؟,بتطلّع شعاع يوصل للاتنين.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q109,ما الذي قيل في هذا الجزء؟,هيوصل لدا قبل ما هيوصل لدا،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q110,ما النص الحرفي المذكور في هذه الفقرة؟,المفروض دا اللي نشوفه،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q111,ماذا ورد في هذا الموضع من النص؟,شعاع الضوء في نفس اللحظة،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q112,ما الجملة المذكورة في هذا السياق؟,وصلوا في نفس اللحظة بالظبط،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q113,كيف صيغت العبارة هنا؟,مش بيقاوم الضوء!,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q114,ما الذي قيل في هذا الجزء؟,سرعة الضوء سرعته هي هي بالمقارنة بأي حاجة،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q115,ما النص الحرفي المذكور في هذه الفقرة؟,"هو هو بنفس السرعة.""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q116,ماذا ورد في هذا الموضع من النص؟,إن الحركة في النسبية كسّرت كل التوقعات،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q117,ما الجملة المذكورة في هذا السياق؟,وإنما الحركية تكون نسبية.,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q118,كيف صيغت العبارة هنا؟,كانت فركة كعب،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q119,ما الذي قيل في هذا الجزء؟,سرعة القطر + فركة الكعب نفسه.,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q120,ما النص الحرفي المذكور في هذه الفقرة؟,عشان فيه واحدة جاية دلوقتي!,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q121,ماذا ورد في هذا الموضع من النص؟,سرعة القطر مع سرعة فركة الكعب؟,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q122,ما الجملة المذكورة في هذا السياق؟,بالنسبة للراصد الخارجي,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q123,كيف صيغت العبارة هنا؟,بالمكيف الدرجة الأولى،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q124,ما الذي قيل في هذا الجزء؟,مستعجل على الجايزة دلوقتي.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q125,ما النص الحرفي المذكور في هذه الفقرة؟,ادّيلهم رقم المحفظة،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q126,ماذا ورد في هذا الموضع من النص؟,"على الـ""إنستاباي""؟!",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q127,ما الجملة المذكورة في هذا السياق؟,إن المفارقة اللي بتهد كل أحلامك وطموحاتك,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q128,كيف صيغت العبارة هنا؟,سرعة الضوء 300 ألف كيلومتر في الثانية،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q129,ما الذي قيل في هذا الجزء؟,سرعة الضوء 300 ألف كيلومتر في الثانية،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q130,ما النص الحرفي المذكور في هذه الفقرة؟,سرعة الضوء 300 ألف كيلومتر في الثانية.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q131,ماذا ورد في هذا الموضع من النص؟,بحيث إن انت لمّا تقيس سرعتها،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q132,ما الجملة المذكورة في هذا السياق؟,- أي حاجة، يا عزيزي.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q133,كيف صيغت العبارة هنا؟,سرعة الضوء خط أحمر،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q134,ما الذي قيل في هذا الجزء؟,"لا، لا، لا، مش... لأ أنا هأتغيرله.""",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q135,ما النص الحرفي المذكور في هذه الفقرة؟,إن الجسم لمّا بيتحرك،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q136,ماذا ورد في هذا الموضع من النص؟,المفروض بشكل طبيعي،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q137,ما الجملة المذكورة في هذا السياق؟,وهيشوفك أقصر شوية،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q138,كيف صيغت العبارة هنا؟,مش هتبقى ملحوظة في حياتنا الطبيعية،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q139,ما الذي قيل في هذا الجزء؟,عند السرعات اللي بتقرب من سرعة الضوء.,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q140,ما النص الحرفي المذكور في هذه الفقرة؟,هنفترض إن القطر بتاعنا خرافي،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q141,ماذا ورد في هذا الموضع من النص؟,في نفس اتجاه القطر،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q142,ما الجملة المذكورة في هذا السياق؟,سرعة الضوء ثابتة وطبيعية،,Medium
