video_id,video_title,question_id,question,answer,difficulty
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q017,ما الجملة المذكورة في هذا السياق؟,وعلماء العصور القديمة،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q018,كيف صيغت العبارة هنا؟,"""إقليدس""، ""هيراقليطس"".",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q019,ما الذي قيل في هذا الجزء؟,أهم جزء في اللوحة هو هذا المشهد،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,بيشاور بصباعه للسما،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q021,ماذا ورد في هذا الموضع من النص؟,واحد من أهم الاختلافات في تاريخ الفلسفة.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q022,ما الجملة المذكورة في هذا السياق؟,"على ما يُسمّى بـ""عالَم المُثُل العليا""،",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q023,كيف صيغت العبارة هنا؟,هو عالَم مثالي غير محسوس،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q024,ما الذي قيل في هذا الجزء؟,في حالة كمال، perfection،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q025,ما النص الحرفي المذكور في هذه الفقرة؟,للعالَم البعيد اللي فوق دا.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q026,ماذا ورد في هذا الموضع من النص؟,وفي لحظة اتوجد.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q027,ما الجملة المذكورة في هذا السياق؟,"على طلاب مدرسة الـ""ليسيوم"" في ""أثينا""،",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q028,كيف صيغت العبارة هنا؟,"""الطبيعة لا تحتمل الفراغ""،",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q029,ما الذي قيل في هذا الجزء؟,"معلش، أنا متلخبط!""",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q030,ما النص الحرفي المذكور في هذه الفقرة؟,يتفرّغ من مادته ويصبح عدم،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q031,ماذا ورد في هذا الموضع من النص؟,ثم الكون اتخلق،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q032,ما الجملة المذكورة في هذا السياق؟,وبعد كدا، ييجي عدم،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q033,كيف صيغت العبارة هنا؟,و There's no end.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q034,ما الذي قيل في هذا الجزء؟,بيشاور بإيده على الأرض،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q035,ما النص الحرفي المذكور في هذه الفقرة؟,جسّدت الفكرتين دُول جنب بعض،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q036,ماذا ورد في هذا الموضع من النص؟,بيتصدموا جدًا من هذه الفكرة،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q037,ما الجملة المذكورة في هذا السياق؟,"كل كلام فلاسفة ""اليونان""،",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q038,كيف صيغت العبارة هنا؟,"وهيسمّوها ""قِدَم العالَم""،",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q039,ما الذي قيل في هذا الجزء؟,لأن الكون في الأديان مخلوق.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q040,ما النص الحرفي المذكور في هذه الفقرة؟,نِفسهم هذه الفكرة تطلع صح،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q041,ماذا ورد في هذا الموضع من النص؟,المعادن الرخيصة لدهب.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q042,ما الجملة المذكورة في هذا السياق؟,إن مادة الكون هي عنصر أساسي وثابت،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q043,كيف صيغت العبارة هنا؟,مجرد صور لمادة ثابتة،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q044,ما الذي قيل في هذا الجزء؟,الصفيح بتاعنا لدهب!,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q045,ما النص الحرفي المذكور في هذه الفقرة؟,معضلة فلسفية شاغلة العلماء والمفكرين،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q046,ماذا ورد في هذا الموضع من النص؟,بطرُق علمية تأكدلنا مين فيهم صح،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q047,ما الجملة المذكورة في هذا السياق؟,إن الكون اتخلق، وهييجي يوم وينتهي،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q048,كيف صيغت العبارة هنا؟,إن الكون أزلي بلا بداية، وأبدي بلا نهاية،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q049,ما الذي قيل في هذا الجزء؟,كل دا هيتغيّر.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q050,ما النص الحرفي المذكور في هذه الفقرة؟,بيقدر يرصد النجوم في أي مكان,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q051,ماذا ورد في هذا الموضع من النص؟,بيوصل هذا المرصد شاب أمريكي فلكي،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q052,ما الجملة المذكورة في هذا السياق؟,لتجمع سحابي حلزوني الشكل،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q053,كيف صيغت العبارة هنا؟,بيرصد الحاجات جوا مجرتنا.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q054,ما الذي قيل في هذا الجزء؟,مختلفة عن الصور اللي لقطها آخر يومين،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q055,ما النص الحرفي المذكور في هذه الفقرة؟,ما طلعش نجم طبيعي، Nova،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q056,ماذا ورد في هذا الموضع من النص؟,وبعد كدا، يطفي تمامًا،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q057,ما الجملة المذكورة في هذا السياق؟,Cepheid Varaible.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q058,كيف صيغت العبارة هنا؟,في دراسة الفضاء،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q059,ما الذي قيل في هذا الجزء؟,ويشطب على الرمز بتاع الـN،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q060,ما النص الحرفي المذكور في هذه الفقرة؟,variable، أو متغيّر،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q061,ماذا ورد في هذا الموضع من النص؟,"هو العالِم المعروف ""إدوين هابل""،",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q062,ما الجملة المذكورة في هذا السياق؟,"تليسكوب ""هابل"" الفضائي،",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q063,كيف صيغت العبارة هنا؟,واللي هتاخد رمز H335H،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q064,ما الذي قيل في هذا الجزء؟,في التجمع السحابي،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q065,ما النص الحرفي المذكور في هذه الفقرة؟,بين كل نبضة والتانية،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q066,ماذا ورد في هذا الموضع من النص؟,"مدى بُعد هذا النجم عن كوكب ""الأرض"".",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q067,ما الجملة المذكورة في هذا السياق؟,"بالورقة والقلم؟!""",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q068,كيف صيغت العبارة هنا؟,في هذه الفترة لم تكُن حسابات إعجازية،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q069,ما الذي قيل في هذا الجزء؟,"""هينيريتا سوان ليفيت""،",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q070,ما النص الحرفي المذكور في هذه الفقرة؟,اللي اتسمّوا بالـHarvard Computers،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q071,ماذا ورد في هذا الموضع من النص؟,كان بيُطلق على الناس اللي بتحسب،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q072,ما الجملة المذكورة في هذا السياق؟,معالجات حسابية بشكل يدوي، بإيديه.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q073,كيف صيغت العبارة هنا؟,"بُعد النجم عن ""الأرض""،",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q074,ما الذي قيل في هذا الجزء؟,"ييبعُد عن ""الأرض"" 800 ألف سنة ضوئية.",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q075,ما النص الحرفي المذكور في هذه الفقرة؟,حوالي 100 ألف سنة ضوئية،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q076,ماذا ورد في هذا الموضع من النص؟,في مجرّة تانية خالص برة مجرتنا،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q077,ما الجملة المذكورة في هذا السياق؟,هنعرف إن المجرة اللي فيها هذا النجم,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q078,كيف صيغت العبارة هنا؟,إن دا كان أول مرة في التاريخ,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q079,ما الذي قيل في هذا الجزء؟,برة المجرة بتاعتنا،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q080,ما النص الحرفي المذكور في هذه الفقرة؟,"""الرجُل الذي اكتشف الكون""،",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q081,ماذا ورد في هذا الموضع من النص؟,"بيبدأ ""هابل"" يدرس 12 مجرة برة مجرتنا،",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q082,ما الجملة المذكورة في هذا السياق؟,اللي طالع من هذه الكيانات,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q083,كيف صيغت العبارة هنا؟,القمر هو اللي بيتكسف!,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q084,ما الذي قيل في هذا الجزء؟,ما يُعرف بالـDoppler Effect،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q085,ما النص الحرفي المذكور في هذه الفقرة؟,في ضوء الأجرام السماوية،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q086,ماذا ورد في هذا الموضع من النص؟,بيعكس إن، لا مؤاخذة، فيه حركة،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q087,ما الجملة المذكورة في هذا السياق؟,الأطوال الموجية بتبقى قصيرة،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q088,كيف صيغت العبارة هنا؟,إن المجرات اللي شافها بضوئها الأحمر,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q089,ما الذي قيل في هذا الجزء؟,بتبقى أبعد عن مجرتنا،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q090,ما النص الحرفي المذكور في هذه الفقرة؟,تخيل إن الكون بالونة،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q091,ماذا ورد في هذا الموضع من النص؟,كل نقطة بتمثل مجرة،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q092,ما الجملة المذكورة في هذا السياق؟,في المحيط الخارجي من البالونة,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q093,كيف صيغت العبارة هنا؟,وموضوع (أرسطو)؟!,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q094,ما الذي قيل في هذا الجزء؟,"بتحاول تـDrop their names!""",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q095,ما النص الحرفي المذكور في هذه الفقرة؟,"الفيزيائي البلجيكي ""جورجز ليميت""،",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q096,ماذا ورد في هذا الموضع من النص؟,Universe Expansion،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q097,ما الجملة المذكورة في هذا السياق؟,إن لو الكون بيتوسّع بانتظام مع الزمن،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q098,كيف صيغت العبارة هنا؟,رجعنا بالزمن للحظة البداية،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q099,ما الذي قيل في هذا الجزء؟,اللي الكون فيها كان أد كداهو،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q100,ما النص الحرفي المذكور في هذه الفقرة؟,في أصغر شكل ممكن،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q101,ماذا ورد في هذا الموضع من النص؟,"بفكرة ""الانفجار العظيم""،",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q102,ما الجملة المذكورة في هذا السياق؟,لفكرة عن بداية الكون،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q103,كيف صيغت العبارة هنا؟,وهي نهاية الكون،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q104,ما الذي قيل في هذا الجزء؟,"""جورجز لاميت"" دا كان رجُل دين،",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q105,ما النص الحرفي المذكور في هذه الفقرة؟,"""الموت الحراري""، Heat Death.",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q106,ماذا ورد في هذا الموضع من النص؟,لواحد من أهم قوانين الفيزيا،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q107,ما الجملة المذكورة في هذا السياق؟,إن احنا عندنا مُكّعبين زجاجيين،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q108,كيف صيغت العبارة هنا؟,وجزيئاته حركتها نشيطة،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q109,ما الذي قيل في هذا الجزء؟,وجزيئاته غير نشطة.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q110,ما النص الحرفي المذكور في هذه الفقرة؟,اللي فيه الغاز اللي درجة حرارته سُخنة ونشط,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q111,ماذا ورد في هذا الموضع من النص؟,اللي مش نشط أوي، بتبدأ ترتفع،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q112,ما الجملة المذكورة في هذا السياق؟,لحد ما درجات الحرارة تتساوى بين المكعبين،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q113,كيف صيغت العبارة هنا؟,بيشرح العملية الفيزيائية دي بالكامل،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q114,ما الذي قيل في هذا الجزء؟,ممكن يأثّر عليها،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q115,ما النص الحرفي المذكور في هذه الفقرة؟,من النظام الأعلى في درجة الحرارة,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q116,ماذا ورد في هذا الموضع من النص؟,بمصطلح الـEntropy،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q117,ما الجملة المذكورة في هذا السياق؟,اللي بتحصل في أي نظام فيزيائي،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q118,كيف صيغت العبارة هنا؟,اللي حكيتلك عنها دي،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q119,ما الذي قيل في هذا الجزء؟,في درجات الحرارة،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q120,ما النص الحرفي المذكور في هذه الفقرة؟,تعكس هذه الـprocess،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q121,ماذا ورد في هذا الموضع من النص؟,هتلاقي إن القانون التاني للديناميكا الحرارية,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q122,ما الجملة المذكورة في هذا السياق؟,لأن أنا مش فاهم!,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q123,كيف صيغت العبارة هنا؟,المادة بتتحوّل من حالة إلى حالة،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q124,ما الذي قيل في هذا الجزء؟,أو يحصل أي reverse،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q125,ما النص الحرفي المذكور في هذه الفقرة؟,إن عادةً في الفيزيا,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q126,ماذا ورد في هذا الموضع من النص؟,كل شيء في الكون,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q127,ما الجملة المذكورة في هذا السياق؟,وهو الـHigh Entropy،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q128,كيف صيغت العبارة هنا؟,بانعكاس هذه العملية في نفس الظروف.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q129,ما الذي قيل في هذا الجزء؟,تعمل كدا، تعمل عكسها، ما يفرقش،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q130,ما النص الحرفي المذكور في هذه الفقرة؟,وتتكسر 100 حتة،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q131,ماذا ورد في هذا الموضع من النص؟,اللي هيمنعها ترجع تلتئم تاني،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q132,ما الجملة المذكورة في هذا السياق؟,للكون كله، هتلاقي القانون واحد.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q133,كيف صيغت العبارة هنا؟,في سنة 1852,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q134,ما الذي قيل في هذا الجزء؟,في هذا البحث على القانونين،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q135,ما النص الحرفي المذكور في هذه الفقرة؟,للديناميكا الحرارية،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q136,ماذا ورد في هذا الموضع من النص؟,يتنبأ بمصير الكون،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q137,ما الجملة المذكورة في هذا السياق؟,نظام مغلق ومعزول،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q138,كيف صيغت العبارة هنا؟,من صورته الأولى,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q139,ما الذي قيل في هذا الجزء؟,اللي بنسميها Singularity،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q140,ما النص الحرفي المذكور في هذه الفقرة؟,بالمعرفة بتاعتنا دلوقتي،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q141,ماذا ورد في هذا الموضع من النص؟,تتباعد أكتر وأكتر عن بعض.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q142,ما الجملة المذكورة في هذا السياق؟,"زي ما ""هابل"" شاف كدا في التليسكوب،",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q143,كيف صيغت العبارة هنا؟,درجة حرارة الكون تبدأ تنخفض،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q144,ما الذي قيل في هذا الجزء؟,بشكل غير قابل للانعكاس،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q145,ما النص الحرفي المذكور في هذه الفقرة؟,هيدخل في حالة تساوي في الحرارة،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q146,ماذا ورد في هذا الموضع من النص؟,ليطيع القوانين القائمة،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q147,ما الجملة المذكورة في هذا السياق؟,"والموت الشامل البارد.""",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q148,كيف صيغت العبارة هنا؟,"إن ""كالفن"" اعتبر إن الموت الحراري",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q149,ما الذي قيل في هذا الجزء؟,إن الكون ليس له بداية وليس له نهاية،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q150,ما النص الحرفي المذكور في هذه الفقرة؟,اللي كانت متسيّدة في القرن الـ19،,Medium
