video_id,video_title,question_id,question,answer,difficulty
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q001,ماذا ورد في هذا الموضع من النص؟,"أنا ""هَنا""، في خدمة سموّك.",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q032,ما الجملة المذكورة في هذا السياق؟,"مع جيرانهم في شبه الجزيرة ""بَكر بن وائل""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q033,كيف صيغت العبارة هنا؟,ما كانوش هما اللي نهبوا القافلة،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q034,ما الذي قيل في هذا الجزء؟,"لمّا كانت القافلة في أرض ""تميم""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q035,ما النص الحرفي المذكور في هذه الفقرة؟,اللي كان بيتفاخر بجدّه؟,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q036,ماذا ورد في هذا الموضع من النص؟,اللي افتدى نفسه من الأسر,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q037,ما الجملة المذكورة في هذا السياق؟,واللي فضلوا عايشين معاه من الأساورة.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q038,كيف صيغت العبارة هنا؟,مصلحة زي الفُل من هذه السرقة،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q039,ما الذي قيل في هذا الجزء؟,"فيها ""آر بي جيهات"" وطيارات F35، كل دا...",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q040,ما النص الحرفي المذكور في هذه الفقرة؟,ومعاهم 300 جمل،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q041,ماذا ورد في هذا الموضع من النص؟,- غضب كسرى، كسرى قفش!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q042,ما الجملة المذكورة في هذا السياق؟,بعد ما افتدى نفسه ورجع لقبيلته،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q043,كيف صيغت العبارة هنا؟,من الهجوم اللي حصل عليهم،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q044,ما الذي قيل في هذا الجزء؟,من على وشك كسرى، وسأله سؤال واحد:,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q045,ما النص الحرفي المذكور في هذه الفقرة؟,"اللي سرقتنا دي؟""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q046,ماذا ورد في هذا الموضع من النص؟,"وقام قايلّه: ""(تميم).""",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q047,ما الجملة المذكورة في هذا السياق؟,"مع (تميم) دُول؟""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q048,كيف صيغت العبارة هنا؟,"جاية منك بحرب.""",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q049,ما الذي قيل في هذا الجزء؟,"على إيقاع بني ""تميم"".",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q050,ما النص الحرفي المذكور في هذه الفقرة؟,اللي موجودة في شرق الجزيرة,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q051,ماذا ورد في هذا الموضع من النص؟,نفوذ فيها قوي الفترة دي،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q052,ما الجملة المذكورة في هذا السياق؟,"على أسواق ""هَجَر"" و""البحرين"" و""الأحساء""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q053,كيف صيغت العبارة هنا؟,وبعد كدا، ترجع لمكانها.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q054,ما الذي قيل في هذا الجزء؟,اللي جاية لـ(البحرين) و(الأحساء)،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q055,ما النص الحرفي المذكور في هذه الفقرة؟,وبالتالي، نجوّع بني (تميم)،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q056,ماذا ورد في هذا الموضع من النص؟,"باب ""الميرة"" اللي كان مقفول،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q057,ما الجملة المذكورة في هذا السياق؟,"في بني ""تميم"" ويبشرّهم:",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q058,كيف صيغت العبارة هنا؟,أرسل لكم الـ(ميرة) الجديدة،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q059,ما الذي قيل في هذا الجزء؟,في أمسّ الحاجة لهذه البضائع.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q060,ما النص الحرفي المذكور في هذه الفقرة؟,الـ(ميرة) هتتوزع مجانًا على بني (تميم)،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q061,ماذا ورد في هذا الموضع من النص؟,"موجود لحد دلوقتي في شرق ""السعودية"".",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q062,ما الجملة المذكورة في هذا السياق؟,"إلى حصن ""المُشقّر""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q063,كيف صيغت العبارة هنا؟,بيسيب سلاحه على الباب،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q064,ما الذي قيل في هذا الجزء؟,الفار بدأ يتلاعب في أعبائه،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q065,ما النص الحرفي المذكور في هذه الفقرة؟,وضرب سلسلة على باب (المُشقّر)،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q066,ماذا ورد في هذا الموضع من النص؟,كانوا بيُبادوا في مذبحة صامتة!,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q067,ما الجملة المذكورة في هذا السياق؟,اللي دبّر المذبحة مع كسرى،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q068,كيف صيغت العبارة هنا؟,ينقّي 100 واحد بس يعفي عنهم،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q069,ما الذي قيل في هذا الجزء؟,"ما فاضلش غير (تميم) وأخوه!""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q070,ما النص الحرفي المذكور في هذه الفقرة؟,"هما اللي فضلوا بس من رجالة ""تميم"".",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q071,ماذا ورد في هذا الموضع من النص؟,أنا رجالة (تميم) صعبوا عليا أوي!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q072,ما الجملة المذكورة في هذا السياق؟,ونهبوكم وأسروا رجالتكم وقتلوا فيكم،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q073,كيف صيغت العبارة هنا؟,خلاص، ندبحهم؟!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q074,ما الذي قيل في هذا الجزء؟,على اللي سرقوا القافلة وخلاص،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q075,ما النص الحرفي المذكور في هذه الفقرة؟,"يبيدوا القبيلة بالكامل؟!""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q076,ماذا ورد في هذا الموضع من النص؟,ممكن يكون واحد من الاحتكاكات القديمة,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q077,ما الجملة المذكورة في هذا السياق؟,من صراعات العرب والفُرس،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q078,كيف صيغت العبارة هنا؟,وكل هذه التراكمات تنفجر.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q079,ما الذي قيل في هذا الجزء؟,أقدم بكتير من القرن السادس الميلادي،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q080,ما النص الحرفي المذكور في هذه الفقرة؟,كان بيغلب عليها صيغة واحدة بس،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q081,ماذا ورد في هذا الموضع من النص؟,خاضعة لنظام حُكم إمبراطوري،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q082,ما الجملة المذكورة في هذا السياق؟,بيورّثها للي بعده.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q083,كيف صيغت العبارة هنا؟,تبص الناحية التانية، ناحية العرب،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q084,ما الذي قيل في هذا الجزء؟,في وسط وشمال الجزيرة.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q085,ما النص الحرفي المذكور في هذه الفقرة؟,كانت عبارة عن غارات،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q086,ماذا ورد في هذا الموضع من النص؟,إنها تصد الهجمات الحدودية الخاطفة دي.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q087,ما الجملة المذكورة في هذا السياق؟,"ليه الفُرس ما كانوش يروحوا يحتلوهم؟""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q088,كيف صيغت العبارة هنا؟,الفُرس كان صعب إن هما يطاردوا,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q089,ما الذي قيل في هذا الجزء؟,يعيش ويحارب في الصحرا غير أهلها،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q090,ما النص الحرفي المذكور في هذه الفقرة؟,ممكن يحارب بدالي؟,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q091,ماذا ورد في هذا الموضع من النص؟,"يعملولي هذه التضحيات.""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q092,ما الجملة المذكورة في هذا السياق؟,إن هما يستخدموا العرب في محاربة العرب.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q093,كيف صيغت العبارة هنا؟,"فاضل بس كسرى يموتله 9 علماء نووين.""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q094,ما الذي قيل في هذا الجزء؟,"اسمها دولة ""المناذرة"" في ""الحيرة""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q095,ما النص الحرفي المذكور في هذه الفقرة؟,في عالم الحروب بالـBuffer State،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q096,ماذا ورد في هذا الموضع من النص؟,"""أوكرانيا"" بالنسبة لـ""أوروبا""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q097,ما الجملة المذكورة في هذا السياق؟,بين قوّتين كبار بينهم مشاكل،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q098,كيف صيغت العبارة هنا؟,عايزة دولة كبيرة تبقى على حدودها.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q099,ما الذي قيل في هذا الجزء؟,"دولة ""شنكار""، بتمنع إصابات الرُكبة!",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q100,ما النص الحرفي المذكور في هذه الفقرة؟,"مصطلح شائع، ""الدولة الوسادة""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q101,ماذا ورد في هذا الموضع من النص؟,ما تحكّش في صاج الدولة!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q102,ما الجملة المذكورة في هذا السياق؟,في النُص التاني من القرن التالت،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q103,كيف صيغت العبارة هنا؟,أو الدولة العازلة بشكل عبقري،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q104,ما الذي قيل في هذا الجزء؟,عن قوتين مهمين جدًا في هذا الوقت،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q105,ما النص الحرفي المذكور في هذه الفقرة؟,"اللي موجودة في ""الشام"" و""الأناضول""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q106,ماذا ورد في هذا الموضع من النص؟,اللي موجودة في شبه الجزيرة،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q107,ما الجملة المذكورة في هذا السياق؟,في هذا الوقت حاطين إيديهم على العرب،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q108,كيف صيغت العبارة هنا؟,هو اللي يعرف يخرج من الصحرا,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q109,ما الذي قيل في هذا الجزء؟,كان يبقى جاي من بيئته القاسية،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q110,ما النص الحرفي المذكور في هذه الفقرة؟,"ما تفهمش ""تسلا"" دا ولّا معمول فين!",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q111,ماذا ورد في هذا الموضع من النص؟,والقصور كوم تاني خالص،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q112,ما الجملة المذكورة في هذا السياق؟,أعجوبة هذا العصر،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q113,كيف صيغت العبارة هنا؟,كان حلم يشبه تهيؤات السكارى،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q114,ما الذي قيل في هذا الجزء؟,ودماغي سرحت منّي وراحت منّي،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q115,ما النص الحرفي المذكور في هذه الفقرة؟,"ما حيلتيش غير البعير!""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q116,ماذا ورد في هذا الموضع من النص؟,"اللي بيحكم ""الحيرة""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q117,ما الجملة المذكورة في هذا السياق؟,كمَلِك عنده هيبة،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q118,كيف صيغت العبارة هنا؟,عشان يروض العرب.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q119,ما الذي قيل في هذا الجزء؟,نجحوا في إنهم يفرضوا كلمتهم,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q120,ما النص الحرفي المذكور في هذه الفقرة؟,"بيفسرلك ليه كسرى ""أنو شروان""",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q121,ماذا ورد في هذا الموضع من النص؟,على أسيادهم من الفُرس.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q122,ما الجملة المذكورة في هذا السياق؟,"اسمه ""سابور بن هُرمز""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q123,كيف صيغت العبارة هنا؟,الناس بتشوف ولي العهد فين،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q124,ما الذي قيل في هذا الجزء؟,"""إيه دا؟! دي حاجة ممتازة،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q125,ما النص الحرفي المذكور في هذه الفقرة؟,"ليست في أحسن أوضاعها.""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q126,ماذا ورد في هذا الموضع من النص؟,"لجنوب ""فارس"" ويزاحموا الفُرس.",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q127,ما الجملة المذكورة في هذا السياق؟,"و(البحرين) و(كاظمة).""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q128,كيف صيغت العبارة هنا؟,إن هما هاجروا بأعداد عظيمة،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q129,ما الذي قيل في هذا الجزء؟,حاجة تتاكل عندهم، إلا وكلوها.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q130,ما النص الحرفي المذكور في هذه الفقرة؟,وفيه حاجة عمّالة تحصل هناك،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q131,ماذا ورد في هذا الموضع من النص؟,اللي كانوا موجودين في أراضي الفُرس.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q132,ما الجملة المذكورة في هذا السياق؟,في الساحل الشرقي للخليج،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q133,كيف صيغت العبارة هنا؟,وبسبب تنكيله بالعرب،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q134,ما الذي قيل في هذا الجزء؟,"لقب (ذي الأكتاف).""",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q135,ما النص الحرفي المذكور في هذه الفقرة؟,الناس تلمس أكتاف!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q136,ماذا ورد في هذا الموضع من النص؟,بتخرم في أماكن أخرى،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q137,ما الجملة المذكورة في هذا السياق؟,الفُرس كانت إمبراطورية قوية متغطرسة،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q138,كيف صيغت العبارة هنا؟,عايشين اليوم بيومه.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q139,ما الذي قيل في هذا الجزء؟,عشان يعني يدّيك Picture للموضوع عامل ازاي...,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q140,ما النص الحرفي المذكور في هذه الفقرة؟,See First!,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q141,ماذا ورد في هذا الموضع من النص؟,حلفاء للفُرس وتحت طاعتهم.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q142,ما الجملة المذكورة في هذا السياق؟,كسرى مش اسم واحد، دا اسم الصنف،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q143,كيف صيغت العبارة هنا؟,"بدأوا يتربوا ويروحوا يتعلموا في ""الحيرة""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q144,ما الذي قيل في هذا الجزء؟,"""المنتظم في تاريخ الملوك والأمم""...",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q145,ما النص الحرفي المذكور في هذه الفقرة؟,ما تشوفلنا مستقبل الواد دا عامل ازاي,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q146,ماذا ورد في هذا الموضع من النص؟,لازم يروح يتربى وسط العرب.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q147,ما الجملة المذكورة في هذا السياق؟,وقام مدّيله الولد،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q148,كيف صيغت العبارة هنا؟,"دولة المناذرة في ""الحيرة"" تابعة للفُرس.",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q149,ما الذي قيل في هذا الجزء؟,"لحد ما بيوصل للحُكم ""المنذر بن المنذر""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q150,ما النص الحرفي المذكور في هذه الفقرة؟,"في قائمة ملوك ""الحيرة""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q151,ماذا ورد في هذا الموضع من النص؟,"واحد من عيال ""المنذر"" الـ10،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q152,ما الجملة المذكورة في هذا السياق؟,المرشحين البارزين كانوا 2،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q153,كيف صيغت العبارة هنا؟,اللي دخلوا الإعادة قصاد بعض،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q154,ما الذي قيل في هذا الجزء؟,"من مجموعة اسمها بني ""مرينا""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q155,ما النص الحرفي المذكور في هذه الفقرة؟,هما اللي ربوه،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q156,ماذا ورد في هذا الموضع من النص؟,"هو الأخ ""النعمان بن المنذر""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q157,ما الجملة المذكورة في هذا السياق؟,"قُدّام ""الأسوَد"" و""النعمان"".",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q158,كيف صيغت العبارة هنا؟,زي ما قُلتلك،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q159,ما الذي قيل في هذا الجزء؟,"إن عندهم راجل اسمه ""عُدَي بن زيد""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q160,ما النص الحرفي المذكور في هذه الفقرة؟,أنه كان محل ثقة كسرى،,Medium
