video_id,video_title,question_id,question,answer,difficulty
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q001,ماذا ورد في النص حول هذه الجزئية؟,والساموزين والسامو عليكم!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q015,ما النص الحرفي المذكور هنا؟,ممكن تعتبره جنوني،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q016,ماذا ورد في النص حول هذه الجزئية؟,مشهد بطولي هُما الساموراي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q017,ما الجملة المذكورة في هذا الموضع؟,مُسمّى Seppuku، أو الـHarakiri،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q018,كيف صيغت العبارة في النص؟,عشان نفهم النهاردة ما هو الساموراي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q019,ما الذي قيل في هذا السياق؟,وما هي رحلة تطوُّر هذه العقيدة.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q020,ما النص الحرفي المذكور هنا؟,لازم نرجع لأصل الكلمة،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q021,ماذا ورد في النص حول هذه الجزئية؟,"معناها ""الذي يخدِم""،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q022,ما الجملة المذكورة في هذا الموضع؟,عشان يقدروا يلمّوا الضرايب من الفلاحين،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q023,كيف صيغت العبارة في النص؟,ما حدش في الدنيا بيحب يدفع ضرايب،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q024,ما الذي قيل في هذا السياق؟,"نخلّيهم يدفعوا بالعافية!""",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q025,ما النص الحرفي المذكور هنا؟,الفلوس كترت، والأطماع زادت،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q026,ماذا ورد في النص حول هذه الجزئية؟,بدأوا يتحولوا إلى حُرّاس شخصيين للإقطاعيين،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q027,ما الجملة المذكورة في هذا الموضع؟,الـDaimyō، اللي اتكلمت عنهم،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q028,كيف صيغت العبارة في النص؟,وحفظ النظام وفرض هيبة الدولة،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q029,ما الذي قيل في هذا السياق؟,كانوا هُما القانون والجلّاد.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q030,ما النص الحرفي المذكور هنا؟,بدأوا يمتلكوا أراضي وثروات،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q031,ماذا ورد في النص حول هذه الجزئية؟,والنبلاء والطبقة الأرستقراطية,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q032,ما الجملة المذكورة في هذا الموضع؟,الساموراي دُول مجرد خَدَم.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q033,كيف صيغت العبارة في النص؟,ويغيّر هذه النظرة،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q034,ما الذي قيل في هذا السياق؟,قبل ما يتعلّم المشي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q035,ما النص الحرفي المذكور هنا؟,في حماية السيد والقتال باسمه.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q036,ماذا ورد في النص حول هذه الجزئية؟,"بين العائلات الإقطاعية الكبيرة في ""اليابان""،",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q037,ما الجملة المذكورة في هذا الموضع؟,"إن ليها الحق في السيطرة على ""اليابان""،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q038,كيف صيغت العبارة في النص؟,"""ميناموتو نو يوريتومو""،",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q039,ما الذي قيل في هذا السياق؟,إنه ينتصر على كل منافسينه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q040,ما النص الحرفي المذكور هنا؟,كحاكم فعلي للبلاد،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q041,ماذا ورد في النص حول هذه الجزئية؟,"في تاريخ ""اليابان""،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q042,ما الجملة المذكورة في هذا الموضع؟,كرمز ديني مقدس،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q043,كيف صيغت العبارة في النص؟,"بقت في إيد الـ""شوجن"" والساموراي بتوعه،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q044,ما الذي قيل في هذا السياق؟,أي حد من الطبقات الأدنى،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q045,ما النص الحرفي المذكور هنا؟,"""اليابان"" بتتفاجئ بهجوم المغول عليها،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q046,ماذا ورد في النص حول هذه الجزئية؟,ياخدوا قلم كدا، فيصحوا ويفوقوا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q047,ما الجملة المذكورة في هذا الموضع؟,بين القوة بتاعتهم وبين قوة المغول،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q048,كيف صيغت العبارة في النص؟,كانوا لسة عايشين في جو الفرسان بتاعهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q049,ما الذي قيل في هذا السياق؟,ويقوم طالب مبارزة فردية شريفة.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q050,ما النص الحرفي المذكور هنا؟,إن هُما لمّا جُم يواجهوا جيش المغول،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q051,ماذا ورد في النص حول هذه الجزئية؟,بترعب خيول الساموراي.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q052,ما الجملة المذكورة في هذا الموضع؟,بيعكس مسار الأحداث،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q053,كيف صيغت العبارة في النص؟,تدمّر جيوش المغول،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q054,ما الذي قيل في هذا السياق؟,العاصفة حماية من الآلهة،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q055,ما النص الحرفي المذكور هنا؟,مستفيدين من درس مهم أوي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q056,ماذا ورد في النص حول هذه الجزئية؟,والـgroup presentation،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q057,ما الجملة المذكورة في هذا الموضع؟,لمُقاتلي الساموراي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q058,كيف صيغت العبارة في النص؟,يحبسوهم في البحر عند السور دا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q059,ما الذي قيل في هذا السياق؟,مرة تانية، الطبيعة بتتدخّل،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q060,ما النص الحرفي المذكور هنا؟,عملوا تحوُّل مهم جدًا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q061,ماذا ورد في النص حول هذه الجزئية؟,عن هوية محاربين عظام,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q062,ما الجملة المذكورة في هذا الموضع؟,بالسيف الطويل المقوّس اللي بيلمع،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q063,كيف صيغت العبارة في النص؟,لم يكن السلاح رقم 1 في المعارك الحقيقية،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q064,ما الذي قيل في هذا السياق؟,والسلاح الرئيسي كان القوس والسهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q065,ما النص الحرفي المذكور هنا؟,عشان يبقوا حرّيفة ضرب بالسهم.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q066,ماذا ورد في النص حول هذه الجزئية؟,بقى بييجي الرمح كسلاح أساسي في الاشتباك،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q067,ما الجملة المذكورة في هذا الموضع؟,كان آخر سلاح بيلجأله الساموراي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q068,كيف صيغت العبارة في النص؟,لمّا بقى الأسهم تخلص,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q069,ما الذي قيل في هذا السياق؟,"ساعتها، أستخدم السيف.""",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q070,ما النص الحرفي المذكور هنا؟,إن السيف كان له مكانة مقدسة عندهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q071,ماذا ورد في النص حول هذه الجزئية؟,"بيبقى اسمه سيف الـ""كاتانا""،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q072,ما الجملة المذكورة في هذا الموضع؟,إن هما محتاجين يطوروا سيوفهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q073,كيف صيغت العبارة في النص؟,سيف قوي متين يقدر يسدّ مع الأعداء،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q074,ما الذي قيل في هذا السياق؟,في الأماكن الضيّقة،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q075,ما النص الحرفي المذكور هنا؟,عشان يقطع بيه راس عدوه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q076,ماذا ورد في النص حول هذه الجزئية؟,توسّعله الطريق وهي باصة في الأرض.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q077,ما الجملة المذكورة في هذا الموضع؟,مُصممة عشان تعكس قوّته،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q078,كيف صيغت العبارة في النص؟,متزينة بأشكال مرعبة وشعارات،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q079,ما الذي قيل في هذا السياق؟,كأنه شيطان طالع من جهنم،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q080,ما النص الحرفي المذكور هنا؟,لكن هذا الوجه الكرتوني هو اللي خلاص!,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q081,ماذا ورد في النص حول هذه الجزئية؟,مربوطة بخيوط حرير،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q082,ما الجملة المذكورة في هذا الموضع؟,عشان المحارب يبقى بيتحرك براحته، free،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q083,كيف صيغت العبارة في النص؟,اللي كانت منتشرة في الثقافات التانية،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q084,ما الذي قيل في هذا السياق؟,على حساب المرونة والسرعة.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q085,ما النص الحرفي المذكور هنا؟,هتلاقي إنه كان له دور في منظومة القتال،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q086,ماذا ورد في النص حول هذه الجزئية؟,الجزء القُدّاماني في الراس،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q087,ما الجملة المذكورة في هذا الموضع؟,"هما القوة العسكرية اللي هددت ""اليابان""،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q088,كيف صيغت العبارة في النص؟,كان بداية نهاية الحُكم المركزي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q089,ما الذي قيل في هذا السياق؟,شوية غنايم، شوية أراضي، رزق،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q090,ما النص الحرفي المذكور هنا؟,ما كانش عندهم حاجة يدّوهالهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q091,ماذا ورد في النص حول هذه الجزئية؟,"ودخلت ""اليابان"" في حالة من الانقلابات،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q092,ما الجملة المذكورة في هذا الموضع؟,من الصراعات الأهلية وعدم الاستقرار.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q093,كيف صيغت العبارة في النص؟,لحد ما بنوصل لآخر القرن الـ15،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q094,ما الذي قيل في هذا السياق؟,أو عصر الممالك المتحاربة،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q095,ما النص الحرفي المذكور هنا؟,كانت دموية ووحشية جدًا،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q096,ماذا ورد في النص حول هذه الجزئية؟,ظهرت شخصيات أسطورية،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q097,ما الجملة المذكورة في هذا الموضع؟,ما هو الحقيقي وما هو الخيال الشعبي.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q098,كيف صيغت العبارة في النص؟,فقد عينه اليمين وهو طفل،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q099,ما الذي قيل في هذا السياق؟,لأ، دي زوّدته إصرار،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q100,ما النص الحرفي المذكور هنا؟,لمّا تلاقي حد عنده خوذة عليها هلال ضخم.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q101,ماذا ورد في النص حول هذه الجزئية؟,سابق عصره ومنفتح على العالم،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q102,ما الجملة المذكورة في هذا الموضع؟,على نفسها تمامًا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q103,كيف صيغت العبارة في النص؟,"و""إسبانيا"" و""المكسيك""،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q104,ما الذي قيل في هذا السياق؟,من وهو طفل عنده 13 سنة،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q105,ما النص الحرفي المذكور هنا؟,خاض أكتر من 60 مبارزة حياة أو موت،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q106,ماذا ورد في النص حول هذه الجزئية؟,أسلوب القتال بالسيفين في نفس الوقت،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q107,ما الجملة المذكورة في هذا الموضع؟,لسة بيتقري لحد النهاردة,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q108,كيف صيغت العبارة في النص؟,واتخاذ القرارات.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q109,ما الذي قيل في هذا السياق؟,كان عند الرجالة بس،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q110,ما النص الحرفي المذكور هنا؟,"اسمها الـ""ناجيناتا""،",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q111,ماذا ورد في النص حول هذه الجزئية؟,يوقّعوا الفرسان من على الخيل،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q112,ما الجملة المذكورة في هذا الموضع؟,"واحدة اسمها ""توموي جوزين""،",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q113,كيف صيغت العبارة في النص؟,إنها جميلة كالقمر، وقوية كألف رجُل،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q114,ما الذي قيل في هذا السياق؟,كانت سفّاحة!,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q115,ما النص الحرفي المذكور هنا؟,إن الساموراي ما بيحبوش الأسلحة النارية،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q116,ماذا ورد في النص حول هذه الجزئية؟,الأسلحة النارية سلاح الجبناء،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q117,ما الجملة المذكورة في هذا الموضع؟,دا لم يكُن صحيح،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q118,كيف صيغت العبارة في النص؟,"لمّا التجار البرتغاليين وصلوا ""اليابان""،",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q119,ما الذي قيل في هذا السياق؟,قِدروا بسرعة إن هُما يقلدوها،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q120,ما النص الحرفي المذكور هنا؟,مش بس استخدموا البنادق دي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q121,ماذا ورد في النص حول هذه الجزئية؟,سيل رصاص مستمر على العدو.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q122,ما الجملة المذكورة في هذا الموضع؟,إن الساموراي كان مرحّب بأي سلاح موجود،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q123,كيف صيغت العبارة في النص؟,"معركة ""ناجاشينو""، سنة 1575،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q124,ما الذي قيل في هذا السياق؟,"جيش ""تاكيدا""، اللي كان مكوّن من 15 ألف فارس.",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q125,ما النص الحرفي المذكور هنا؟,"ويقولولك: ""اليابانيين كانوا رافضين الفكرة""!",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q126,ماذا ورد في النص حول هذه الجزئية؟,في كتابه Giving Up the Gun,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q127,ما الجملة المذكورة في هذا الموضع؟,أكتر من أي دولة أوروبية.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q128,كيف صيغت العبارة في النص؟,"عملوا مَدافع يدوية كبيرة اسمها الـ""أوزوتو""،",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q129,ما الذي قيل في هذا السياق؟,كان آه محارب شجاع،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q130,ما النص الحرفي المذكور هنا؟,إنك تهزم العدو وتنتصر لسيدك،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q131,ماذا ورد في النص حول هذه الجزئية؟,أو بطلقة رصاص.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q132,ما الجملة المذكورة في هذا الموضع؟,كان عندهم حاجات زي الساموراي كدا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q133,كيف صيغت العبارة في النص؟,"هو الـ""كود"" الأخلاقي، الشرف.",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q134,ما الذي قيل في هذا السياق؟,عن اتنين من أشهر قادة الساموراي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q135,ما النص الحرفي المذكور هنا؟,أنا حاسس إن أنا قاعد قُدّام (كونان)!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q136,ماذا ورد في النص حول هذه الجزئية؟,"إيه البراعة في اليابانية دي بجد؟!""",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q137,ما الجملة المذكورة في هذا الموضع؟,"خُد يا (أبو حميد) لقب الـ(شوجونية) حالًا!""",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q138,كيف صيغت العبارة في النص؟,حصل فيها نقص حاد في الملح،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q139,ما الذي قيل في هذا السياق؟,كان سلعة استراتيجية لحفظ الأكل،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q140,ما النص الحرفي المذكور هنا؟,رفض إنه يستغل الموقف لصالحه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q141,ماذا ورد في النص حول هذه الجزئية؟,اللي بتميز الساموراي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q142,ما الجملة المذكورة في هذا الموضع؟,من منظومة أخلاقية لا غنى عنها،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q143,كيف صيغت العبارة في النص؟,لقُطّاع طرُق أو بلطجية!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q144,ما الذي قيل في هذا السياق؟,لم يكُن مجرد قواعد أو قانون عسكري،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q145,ما النص الحرفي المذكور هنا؟,استفاد من معظم الفلسفات الشرقية،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q146,ماذا ورد في النص حول هذه الجزئية؟,الولاء للأرض والإمبراطور.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q147,ما الجملة المذكورة في هذا الموضع؟,زي الشجاعة والشرف والنُبل والولاء،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q148,كيف صيغت العبارة في النص؟,بس يكون جزّار في المعركة،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q149,ما الذي قيل في هذا السياق؟,على فنون تانية خالص غير الحرب،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q150,ما النص الحرفي المذكور هنا؟,إن السيف والريشة وجهين لعُملة واحدة،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q151,ماذا ورد في النص حول هذه الجزئية؟,مش بس طبقة عسكرية،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q152,ما الجملة المذكورة في هذا الموضع؟,إداريًا وثقافيًا لقرون قُدّام.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q153,كيف صيغت العبارة في النص؟,كان زهرة الكرز،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q154,ما الذي قيل في هذا السياق؟,وبعد كدا، بتُقع وتموت وهي في عِز جمالها.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q155,ما النص الحرفي المذكور هنا؟,على أد إيه الشرف مهم بالنسبة للساموراي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q156,ماذا ورد في النص حول هذه الجزئية؟,أو خذل سيده، أو اتأسر،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q157,ما الجملة المذكورة في هذا الموضع؟,ويغسل عاره كان الانتحار.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q158,كيف صيغت العبارة في النص؟,عملية بشعة ومؤلمة فوق الوصف،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q159,ما الذي قيل في هذا السياق؟,"سيفه الصغير، الـ""واكيزاشي""،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q160,ما النص الحرفي المذكور هنا؟,قاطع بطنه بالعرض لحد اليمين!,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q161,ماذا ورد في النص حول هذه الجزئية؟,إن الروح والعواطف بتسكُن في البطن، هنا،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q162,ما الجملة المذكورة في هذا الموضع؟,ينهي عذاب هذا المحارب.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q163,كيف صيغت العبارة في النص؟,كانت قمة الشجاعة في نظرهم،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q164,ما الذي قيل في هذا السياق؟,"من الساموراي، الـ""رونين"".",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q165,ما النص الحرفي المذكور هنا؟,كانت حياتهم وردي وعايشين في قصور،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q166,ماذا ورد في النص حول هذه الجزئية؟,أو السيد الإقطاعي مات أو خسر أرضه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q167,ما الجملة المذكورة في هذا الموضع؟,فجأة، يا عزيزي، بيلاقوا نفسهم في الشارع،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q168,كيف صيغت العبارة في النص؟,بالظبط زي موجة البحر.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q169,ما الذي قيل في هذا السياق؟,"إن انت لو بقيت ""رونين""،",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q170,ما النص الحرفي المذكور هنا؟,"الـ""رونين"" دُول كان عندهم كبرياء",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q171,ماذا ورد في النص حول هذه الجزئية؟,دروعهم وسيوفهم، عشان ياكلوا،,Easy
